date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry
2022-09-30,0.3022,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2022-10-16,0.2831,28.51999982,0.0,10,0,0.4,POINT (72.05 22.77)
2022-11-01,0.1626,28.51999982,0.0,11,0,0.4,POINT (72.05 22.77)
2022-11-17,0.3521,28.51999982,0.0,11,0,0.4,POINT (72.05 22.77)
2022-12-03,0.4176,28.51999982,0.0,12,1,0.8,POINT (72.05 22.77)
2022-12-19,0.3444,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2023-01-01,0.4038,28.51999982,0.0,1,0,0.8,POINT (72.05 22.77)
2023-01-17,0.3523,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2023-02-02,0.3125,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2023-02-18,0.3312,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2023-03-06,0.3105,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2023-03-22,0.235,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2023-04-07,0.2192,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2023-04-23,0.2576,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2023-05-09,0.2106,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2023-05-25,0.1958,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2023-06-10,0.2007,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2023-06-26,0.0352,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2023-07-12,0.0188,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2023-07-28,0.0215,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2023-08-13,0.04,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2023-08-29,0.3435,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2023-09-14,0.243,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2023-09-30,0.3552,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2023-10-16,0.3622,28.51999982,0.0,10,0,0.4,POINT (72.05 22.77)
2023-11-01,0.4458,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2023-11-17,0.4521,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
